Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.48895227	40.56568146	113633.3516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488963961	40.74862289	113633.3516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488975535	40.83851624	113637.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488987121	40.96075439	113637.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488998681	41.13560486	113637.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48901026	41.28308487	113637.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489021848	41.45322037	113637.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489033407	41.57798767	113658.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489044984	41.68937683	113658.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489056551	41.78728867	113658.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489068125	41.93374634	113658.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489079708	42.04181671	113658.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489091281	42.14586639	113650.9141	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489102845	42.22911072	113650.9141	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48911442	42.30183411	113650.9141	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489125992	42.37133026	113650.9141	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489137583	42.46773148	113650.9141	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489149142	42.56686401	113643.6719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489160725	42.67576981	113643.6719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489172288	42.7469368	113643.6719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489183875	42.84143829	113643.6719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489195433	42.94450378	113643.6719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489207004	43.0287056	113663.9063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489218603	43.11079025	113663.9063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489230166	43.19504547	113663.9063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489241725	43.24494934	113663.9063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489253311	43.30261612	113663.9063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48926488	43.35354996	113651.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489276469	43.42304993	113651.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489288034	43.5116539	113651.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489299597	43.58301926	113651.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48931118	43.64576721	113651.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489322757	43.69594574	113668.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489334317	43.76062012	113668.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489345897	43.80979919	113668.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489357482	43.88874435	113668.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489369038	43.93317795	113668.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489380608	43.98479843	113673.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489392196	44.02493286	113673.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489403771	44.08214951	113673.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489415328	44.14076996	113673.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489426917	44.16383743	113673.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48943848	44.21778107	113676.7266	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489450061	44.22556686	113676.7266	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489461626	44.24688339	113676.7266	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489473207	44.25710297	113676.7266	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489484787	44.29242325	113676.7266	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489496349	44.31364822	113679.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48950792	44.33963776	113679.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489519505	44.37477875	113679.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489531072	44.39496613	113679.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489542652	44.44551468	113679.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48955422	44.46995163	113697.8438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489565789	44.50429153	113697.8438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489577375	44.53274155	113697.8438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489588943	44.57419968	113697.8438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489600525	44.59818268	113697.8438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489612094	44.61431885	113686.2578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489623663	44.64297485	113686.2578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.489635229	44.67454147	113686.2578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
